UUID;AB_gruppe;adresse;Name;Strasse;Hsnr;Plz;Ort;Info AB
6caaa6eb-c913-46be-b188-71570519ffa2;Gruppe 5, gem. §4a RV Los 2;Bezirkskrankenhaus Lohr a.Main, Am Sommerberg 21, 97816 Lohr a.Main;Bezirkskrankenhaus Lohr a.Main;Am Sommerberg;21;97816;Lohr a.Main;<h3>Abrufberechtigter: </h3><p>Bezirkskrankenhaus Lohr a.Main<br>Am Sommerberg 21<br>97816 Lohr a.Main
6e523505-2358-469d-a1b0-50e0e98cf1a3;Gruppe 5, gem. §4a RV Los 2;Bezirkskrankenhaus Straubing, Lerchenhaid 32, 94315 Straubing;Bezirkskrankenhaus Straubing;Lerchenhaid;32;94315;Straubing;<h3>Abrufberechtigter: </h3><p>Bezirkskrankenhaus Straubing<br>Lerchenhaid 32<br>94315 Straubing
134a71fe-f395-47ae-947d-61fc6a88ec7a;Gruppe 4, gem. §4 Abs 4 Punkt 4 RV;bifa Umweltinstitut GmbH, Am Mittleren Moos 46, 86167 Augsburg;bifa Umweltinstitut GmbH;Am Mittleren Moos;46;86167;Augsburg;<h3>Abrufberechtigter: </h3><p>bifa Umweltinstitut GmbH<br>Am Mittleren Moos 46<br>86167 Augsburg
1f8fd865-6389-4b46-ac98-2511aad3c7d2;Gruppe 4, gem. §4 Abs 4 Punkt 4 RV;Betriebsgesellschaft Umweltforschungsstation Schneefernerhaus GmbH ;#NV;#NV;#NV;#NV;#NV;#NV
422db235-bf92-4ee2-8c59-61a2f321f465;Gruppe 2, gem. §4 Abs 4 Punkt 2 RV;Bits & Bytes GmbH, Norbert-Steger-Str. 4, 94094 Rotthalmünster;#NV;#NV;#NV;#NV;#NV;#NV
e3d99d5a-d329-4b79-a56b-4909ed0f9a55;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Blindeninstitutsstiftung, Ohmstraße 7, 97076 Würzburg;Blindeninstitutsstiftung;Ohmstraße;7;97076;Würzburg;<h3>Abrufberechtigter: </h3><p>Blindeninstitutsstiftung<br>Ohmstraße 7<br>97076 Würzburg
0b9ae144-389d-489b-90d6-96fdd880f4f7;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Burgverwaltung Landshut, Burg Trausnitz 168, 84036 Landshut;Burgverwaltung Landshut;Burg Trausnitz;168;84036;Landshut;<h3>Abrufberechtigter: </h3><p>Burgverwaltung Landshut<br>Burg Trausnitz 168<br>84036 Landshut
9b42e149-0ff6-46ba-a0be-8bc6d640a076;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Burgverwaltung Nürnberg, Burg 13, 90403 Nürnberg;Burgverwaltung Nürnberg;Burg;13;90403;Nürnberg;<h3>Abrufberechtigter: </h3><p>Burgverwaltung Nürnberg<br>Burg 13<br>90403 Nürnberg
556054c3-80b2-4799-b5a0-5cf48ae46513;Gruppe 4, gem. §4 Abs 4 Punkt 4 RV;Cargogate Munich Airport GmbH, Südallee, Modul C 1, 85356 München-Flughafen;Cargogate Munich Airport GmbH;Südallee, Modul C;1;85356;München-Flughafen;<h3>Abrufberechtigter: </h3><p>Cargogate Munich Airport GmbH<br>Südallee, Modul C 1<br>85356 München-Flughafen
b0d447a7-dd2a-4520-9e10-e3571d946ba9;fehlende AB;CETPM GmbH Inst.an der Hochschule Ansbach, Schernberg 34, 91567 Herrieden;CETPM GmbH Inst.an der Hochschule Ansbach;Schernberg;34;91567;Herrieden;<h3>Abrufberechtigter: </h3><p>CETPM GmbH Inst.an der Hochschule Ansbach<br>Schernberg 34<br>91567 Herrieden
97f206a5-c181-4de7-96d0-0527ad792dfd;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Coburger Landesstiftung, Schloßplatz 1, 96450 Coburg;Coburger Landesstiftung;Schloßplatz;1;96450;Coburg;<h3>Abrufberechtigter: </h3><p>Coburger Landesstiftung<br>Schloßplatz 1<br>96450 Coburg
69411981-441d-41d5-887c-353086563f7e;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;das Stadtwerk Regensburg GmbH, Greflingerstr. 26, 93055 Regensburg;das Stadtwerk Regensburg GmbH;Greflingerstr.;26;93055;Regensburg;<h3>Abrufberechtigter: </h3><p>das Stadtwerk Regensburg GmbH<br>Greflingerstr. 26<br>93055 Regensburg
f90da69d-4c37-4244-9e39-92712610425e;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Deutsche Rentenversicherung Bayern Nord, Wittelsbacherring 11, 95444 Bayreuth;Deutsche Rentenversicherung Bayern Nord;Wittelsbacherring;11;95444;Bayreuth;<h3>Abrufberechtigter: </h3><p>Deutsche Rentenversicherung Bayern Nord<br>Wittelsbacherring 11<br>95444 Bayreuth
4adc7958-185e-4eb4-847e-0f167182094b;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Deutsche Rentenversicherung Bayern Süd, Thomas-Dehler-Str. 3, 81737 München;Deutsche Rentenversicherung Bayern Süd;Thomas-Dehler-Str.;3;81737;München;<h3>Abrufberechtigter: </h3><p>Deutsche Rentenversicherung Bayern Süd<br>Thomas-Dehler-Str. 3<br>81737 München
962193ba-7a32-45b6-bde7-9b9f699f828d;Gruppe 5, gem. §4a RV Los 2;Deutsche Rentenversicherung Schwaben, Dieselstraße 9, 86154 Augsburg;Deutsche Rentenversicherung Schwaben;Dieselstraße;9;86154;Augsburg;<h3>Abrufberechtigter: </h3><p>Deutsche Rentenversicherung Schwaben<br>Dieselstraße 9<br>86154 Augsburg
87577ec9-4409-49b7-a5ba-67c06916f7f2;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Deutsches Geodätisches Forschungsinstitut Technische Universität München, Arcisstraße 21, 80333 München;Deutsches Geodätisches Forschungsinstitut Technische Universität München;Arcisstraße;21;80333;München;<h3>Abrufberechtigter: </h3><p>Deutsches Geodätisches Forschungsinstitut Technische Universität München<br>Arcisstraße 21<br>80333 München
ff2f36ca-553e-4bb9-b3e5-50e7f63fcbcf;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Deutsches Herzzentrum München, Lazarettstraße 36, 80636 München;Deutsches Herzzentrum München;Lazarettstraße;36;80636;München;<h3>Abrufberechtigter: </h3><p>Deutsches Herzzentrum München<br>Lazarettstraße 36<br>80636 München
370fc6dc-c70a-48b2-a4ae-e59b05310bf2;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Deutsches Museum, Museumsinsel 1, 80538 München;Deutsches Museum;Museumsinsel;1;80538;München;<h3>Abrufberechtigter: </h3><p>Deutsches Museum<br>Museumsinsel 1<br>80538 München
efb19f64-30d6-4acc-b04f-8be3c7c17de5;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Deutsches Theatermuseum, Galeriestr. 4a, 80539 München;Deutsches Theatermuseum;Galeriestr.;4a;80539;München;<h3>Abrufberechtigter: </h3><p>Deutsches Theatermuseum<br>Galeriestr. 4a<br>80539 München
#NV;fehlende AB;Die Autobahn GmbH des Bundes Niederlassung Südbayern, Seidlstr.7, 80335 München;#NV;#NV;#NV;#NV;#NV;#NV
feaffdea-0311-4dd9-8eea-dad800d7fb0f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Die Neue Sammlung - Museum für angewandte Kunst (Verwaltung), Türkenstraße 15, 80333 München;Die Neue Sammlung - Museum für angewandte Kunst (Verwaltung);Türkenstraße;15;80333;München;<h3>Abrufberechtigter: </h3><p>Die Neue Sammlung - Museum für angewandte Kunst (Verwaltung)<br>Türkenstraße 15<br>80333 München
93f357ed-7626-47c3-9d0e-5db46a7d58a0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Direktion der Bayerischen Staatsgemäldesammlungen, Barer Straße 29, 80799 München;Direktion der Bayerischen Staatsgemäldesammlungen;Barer Straße;29;80799;München;<h3>Abrufberechtigter: </h3><p>Direktion der Bayerischen Staatsgemäldesammlungen<br>Barer Straße 29<br>80799 München
0c70c122-106a-463a-89f0-71734cdfa270;Gruppe 5, gem. §4a RV Los 2;Dominikus Ringeisen Werk, Klosterhof 2, 86513 Ursberg;Dominikus Ringeisen Werk;Klosterhof;2;86513;Ursberg;<h3>Abrufberechtigter: </h3><p>Dominikus Ringeisen Werk<br>Klosterhof 2<br>86513 Ursberg
36f198e1-4a3d-48bd-a1cb-c48cc1043317;Gruppe 5, gem. §4a RV Los 2;DONAUISAR Klinikum Deggendorf, Perlasberger Str. 41, 94469 Deggendorf;DONAUISAR Klinikum Deggendorf;Perlasberger Str.;41;94469;Deggendorf;<h3>Abrufberechtigter: </h3><p>DONAUISAR Klinikum Deggendorf<br>Perlasberger Str. 41<br>94469 Deggendorf
f9956753-3607-48a4-9d80-83111e06739c;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Eigenbetrieb Digitale Infrastruktur Landkreis Cham, Hans-Eder-Str. 28a, 93413 Cham;Eigenbetrieb Digitale Infrastruktur Landkreis Cham;Hans-Eder-Str.;28a;93413;Cham;<h3>Abrufberechtigter: </h3><p>Eigenbetrieb Digitale Infrastruktur Landkreis Cham<br>Hans-Eder-Str. 28a<br>93413 Cham
3494c0b0-4d03-4d6a-88fd-ea7ea6e1b2f2;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;EMB Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG, Luitpoldstraße 17, 63897 Miltenberg;EMB Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG;Luitpoldstraße;17;63897;Miltenberg;<h3>Abrufberechtigter: </h3><p>EMB Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG<br>Luitpoldstraße 17<br>63897 Miltenberg
020c1071-3818-4e8c-be6e-a012f53092f8;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Energieallianz Bayern GmbH & Co. KG, Junkersstr. 7, 85399 Hallbergmoos;Energieallianz Bayern GmbH & Co. KG;Junkersstr.;7;85399;Hallbergmoos;<h3>Abrufberechtigter: </h3><p>Energieallianz Bayern GmbH & Co. KG<br>Junkersstr. 7<br>85399 Hallbergmoos
af9c0ae3-f48a-4f7c-a04e-0e9724dcc0ed;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Erlanger Stadtwerke Stadtverkehr GmbH, Äußere Brucker Str. 33, 91052 Erlangen;Erlanger Stadtwerke Stadtverkehr GmbH;Äußere Brucker Str.;33;91052;Erlangen;<h3>Abrufberechtigter: </h3><p>Erlanger Stadtwerke Stadtverkehr GmbH<br>Äußere Brucker Str. 33<br>91052 Erlangen
ef801503-725c-4665-ae6a-114e05e443f1;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Erzbischöfliches Ordinariat München, Kapellenstraße 4, 80333 München;Erzbischöfliches Ordinariat München;Kapellenstraße;4;80333;München;<h3>Abrufberechtigter: </h3><p>Erzbischöfliches Ordinariat München<br>Kapellenstraße 4<br>80333 München
77be233a-16b9-4b60-a532-3e53af31d513;bezieht keine Produkte, wird entfernt;Erzdiözese München u. Freising, Schrammerstr. 3, 80333 München LÖSCHEN;Erzdiözese München u. Freising;Schrammerstr.;3;80333;München;<h3>Abrufberechtigter: </h3><p>Erzdiözese München u. Freising<br>Schrammerstr. 3<br>80333 München
ec743e4d-30ee-4d68-a3f9-e2c5d659f663;Gruppe 5, gem. §4a RV Los 2;Evang.-Luth. Kirchengemeinde Regensburg St. Lukas, Hiltnerweg 3, 93057 Regensburg;Evang.-Luth. Kirchengemeinde Regensburg St. Lukas;Hiltnerweg;3;93057;Regensburg;<h3>Abrufberechtigter: </h3><p>Evang.-Luth. Kirchengemeinde Regensburg St. Lukas<br>Hiltnerweg 3<br>93057 Regensburg
#NV;Keine passende Eingruppierung;E-Werk Kulturzentrum GmbH Stadt Erlangen, Fuchsenwiese1, 91054 Erlangen;#NV;#NV;#NV;#NV;#NV;#NV
1fe3f6b2-c000-4ba1-93f0-dcded979c6db;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Fernwasserversorgung Franken, Fernwasserstr. 2, 97215 Uffenheim;Fernwasserversorgung Franken;Fernwasserstr.;2;97215;Uffenheim;<h3>Abrufberechtigter: </h3><p>Fernwasserversorgung Franken<br>Fernwasserstr. 2<br>97215 Uffenheim
76cf3476-ab64-414b-ae84-80dd83fc26b7;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Fernwasserversorgung Oberfranken, Ruppen 30, 96317 Kronach;Fernwasserversorgung Oberfranken;Ruppen;30;96317;Kronach;<h3>Abrufberechtigter: </h3><p>Fernwasserversorgung Oberfranken<br>Ruppen 30<br>96317 Kronach
062976b1-3374-4f10-87a3-2e7086380b87;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Amberg, Kirchensteig 2, 92224 Amberg;Finanzamt Amberg;Kirchensteig;2;92224;Amberg;<h3>Abrufberechtigter: </h3><p>Finanzamt Amberg<br>Kirchensteig 2<br>92224 Amberg
81e2ffdf-ebca-462c-a39e-743fbfacee0f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Ansbach Außenstelle Rothenburg ob der Tauber, Mannstraße 11, 91541 Rothenburg ob der Tauber;Finanzamt Ansbach Außenstelle Rothenburg ob der Tauber;Mannstraße;11;91541;Rothenburg ob der Tauber;<h3>Abrufberechtigter: </h3><p>Finanzamt Ansbach Außenstelle Rothenburg ob der Tauber<br>Mannstraße 11<br>91541 Rothenburg ob der Tauber
fa48df8b-2025-4e0f-8f25-3cb79ac5e2e4;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Ansbach, Mozartstr. 25, 91522 Ansbach;Finanzamt Ansbach;Mozartstr.;25;91522;Ansbach;<h3>Abrufberechtigter: </h3><p>Finanzamt Ansbach<br>Mozartstr. 25<br>91522 Ansbach
b6c399bb-981e-4cd0-b38d-d3317e5e0d03;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Aschaffenburg, Auhofstr. 13, 63741 Aschaffenburg;Finanzamt Aschaffenburg;Auhofstr.;13;63741;Aschaffenburg;<h3>Abrufberechtigter: </h3><p>Finanzamt Aschaffenburg<br>Auhofstr. 13<br>63741 Aschaffenburg
7c9e97ba-369f-44dc-b679-82c1dc07a7f3;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Augsburg-Land, Sieglindenstraße 19, 86152 Augsburg;Finanzamt Augsburg-Land;Sieglindenstraße;19;86152;Augsburg;<h3>Abrufberechtigter: </h3><p>Finanzamt Augsburg-Land<br>Sieglindenstraße 19<br>86152 Augsburg
74e0974c-c88a-413d-8247-0081c52ba18d;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Augsburg-Stadt, Prinzregentenplatz 2, 86150 Augsburg;Finanzamt Augsburg-Stadt;Prinzregentenplatz;2;86150;Augsburg;<h3>Abrufberechtigter: </h3><p>Finanzamt Augsburg-Stadt<br>Prinzregentenplatz 2<br>86150 Augsburg
322d6555-a653-4ec2-8100-b73581316fba;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Bad Kissingen, Bibrastr. 10, 97688 Bad Kissingen;Finanzamt Bad Kissingen;Bibrastr.;10;97688;Bad Kissingen;<h3>Abrufberechtigter: </h3><p>Finanzamt Bad Kissingen<br>Bibrastr. 10<br>97688 Bad Kissingen
82ed5cce-72cf-4a1f-b0c8-24aa8b2bf92c;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Bad Neustadt a.d.Saale, Meininger Str. 39, 97616 Bad Neustadt a.d.Saale;Finanzamt Bad Neustadt a.d.Saale;Meininger Str.;39;97616;Bad Neustadt a.d.Saale;<h3>Abrufberechtigter: </h3><p>Finanzamt Bad Neustadt a.d.Saale<br>Meininger Str. 39<br>97616 Bad Neustadt a.d.Saale
fef084d3-17d1-4a9d-8f38-f1d3711e04ae;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Bamberg, Martin-Luther-Straße 1, 96050 Bamberg;Finanzamt Bamberg;Martin-Luther-Straße;1;96050;Bamberg;<h3>Abrufberechtigter: </h3><p>Finanzamt Bamberg<br>Martin-Luther-Straße 1<br>96050 Bamberg
461b07b5-7abf-4edc-b277-1abb4c65dcb5;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Bayreuth, Maximilianstraße 12 - 14, 95444 Bayreuth;Finanzamt Bayreuth;Maximilianstraße;12 - 14;95444;Bayreuth;<h3>Abrufberechtigter: </h3><p>Finanzamt Bayreuth<br>Maximilianstraße 12 - 14<br>95444 Bayreuth
8dde46c9-4721-49b8-9413-48bb5b8542dc;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Berchtesgaden-Laufen Außenstelle Laufen, Rottmayrstr. 13, 83410 Laufen;Finanzamt Berchtesgaden-Laufen Außenstelle Laufen;Rottmayrstr.;13;83410;Laufen;<h3>Abrufberechtigter: </h3><p>Finanzamt Berchtesgaden-Laufen Außenstelle Laufen<br>Rottmayrstr. 13<br>83410 Laufen
7ddaee1e-3ba4-4937-9dfe-fe244f3ffce5;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Berchtesgaden-Laufen, Salzburger Straße 6, 83471 Berchtesgaden;Finanzamt Berchtesgaden-Laufen;Salzburger Straße;6;83471;Berchtesgaden;<h3>Abrufberechtigter: </h3><p>Finanzamt Berchtesgaden-Laufen<br>Salzburger Straße 6<br>83471 Berchtesgaden
69f7c4a8-807b-446e-867f-e5e9a5565163;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Burghausen, Tittmoninger Straße 1, 84489 Burghausen;Finanzamt Burghausen;Tittmoninger Straße;1;84489;Burghausen;<h3>Abrufberechtigter: </h3><p>Finanzamt Burghausen<br>Tittmoninger Straße 1<br>84489 Burghausen
ff58416e-ba03-4566-8f9d-a76d8bd353f1;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Cham, Reberstr. 2, 93413 Cham;Finanzamt Cham;Reberstr.;2;93413;Cham;<h3>Abrufberechtigter: </h3><p>Finanzamt Cham<br>Reberstr. 2<br>93413 Cham
2a7cc1d6-8fb4-41fc-aa9e-a361e0421398;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Coburg, Rodacher Str. 4, 96450 Coburg;Finanzamt Coburg;Rodacher Str.;4;96450;Coburg;<h3>Abrufberechtigter: </h3><p>Finanzamt Coburg<br>Rodacher Str. 4<br>96450 Coburg
b28555fd-82dc-4b4d-b36a-b78aff096950;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Dachau, Bürgermeister-Zauner-Ring 2, 85221 Dachau;Finanzamt Dachau;Bürgermeister-Zauner-Ring;2;85221;Dachau;<h3>Abrufberechtigter: </h3><p>Finanzamt Dachau<br>Bürgermeister-Zauner-Ring 2<br>85221 Dachau
d9fce70c-d72e-472c-b6bf-cb077e213236;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Deggendorf, Pfleggasse 18, 94469 Deggendorf;Finanzamt Deggendorf;Pfleggasse;18;94469;Deggendorf;<h3>Abrufberechtigter: </h3><p>Finanzamt Deggendorf<br>Pfleggasse 18<br>94469 Deggendorf
ae5228bf-1086-438e-b719-7ae129d3b8f4;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Dillingen a.d.Donau, Schloßstraße 3, 89407 Dillingen a.d.Donau;Finanzamt Dillingen a.d.Donau;Schloßstraße;3;89407;Dillingen a.d.Donau;<h3>Abrufberechtigter: </h3><p>Finanzamt Dillingen a.d.Donau<br>Schloßstraße 3<br>89407 Dillingen a.d.Donau
a40edbda-f78d-4463-8ead-d5f5a025e322;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Dingolfing, Obere Stadt 44, 84130 Dingolfing;Finanzamt Dingolfing;Obere Stadt;44;84130;Dingolfing;<h3>Abrufberechtigter: </h3><p>Finanzamt Dingolfing<br>Obere Stadt 44<br>84130 Dingolfing
eb07c731-5aaf-4d93-bed0-537af60e21d7;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Ebersberg, Schloßplatz 1, 85560 Ebersberg;Finanzamt Ebersberg;Schloßplatz;1;85560;Ebersberg;<h3>Abrufberechtigter: </h3><p>Finanzamt Ebersberg<br>Schloßplatz 1<br>85560 Ebersberg
1bc312fe-4157-4995-81e6-f0280fe2d4e7;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Eggenfelden, Pfarrkirchener Straße 71, 84307 Eggenfelden;Finanzamt Eggenfelden;Pfarrkirchener Straße;71;84307;Eggenfelden;<h3>Abrufberechtigter: </h3><p>Finanzamt Eggenfelden<br>Pfarrkirchener Straße 71<br>84307 Eggenfelden
171af9f8-5295-4ee3-b318-639cd1186eab;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Eichstätt, Residenzplatz 8, 85072 Eichstätt;Finanzamt Eichstätt;Residenzplatz;8;85072;Eichstätt;<h3>Abrufberechtigter: </h3><p>Finanzamt Eichstätt<br>Residenzplatz 8<br>85072 Eichstätt
0801277c-a848-4854-9a50-19a1329fea67;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Erding, Münchener Straße 31, 85435 Erding;Finanzamt Erding;Münchener Straße;31;85435;Erding;<h3>Abrufberechtigter: </h3><p>Finanzamt Erding<br>Münchener Straße 31<br>85435 Erding
2e496ee3-5824-4ba8-8d25-ed0627b9f3f9;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Erlangen, Schubertstr. 10, 91052 Erlangen;Finanzamt Erlangen;Schubertstr.;10;91052;Erlangen;<h3>Abrufberechtigter: </h3><p>Finanzamt Erlangen<br>Schubertstr. 10<br>91052 Erlangen
ca1e34db-7404-46d7-b4f8-e924ab521fb0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Forchheim, Dechant-Reuder-Straße 6, 91301 Forchheim;Finanzamt Forchheim;Dechant-Reuder-Straße;6;91301;Forchheim;<h3>Abrufberechtigter: </h3><p>Finanzamt Forchheim<br>Dechant-Reuder-Straße 6<br>91301 Forchheim
0c3d78da-8946-4baa-9939-4df0ddef3f14;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Freising, Prinz-Ludwig-Straße 26, 85354 Freising;Finanzamt Freising;Prinz-Ludwig-Straße;26;85354;Freising;<h3>Abrufberechtigter: </h3><p>Finanzamt Freising<br>Prinz-Ludwig-Straße 26<br>85354 Freising
435dbfcb-d9b6-4aad-aceb-7045b5565182;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Fürstenfeldbruck, Münchner Straße 36, 82256 Fürstenfeldbruck;Finanzamt Fürstenfeldbruck;Münchner Straße;36;82256;Fürstenfeldbruck;<h3>Abrufberechtigter: </h3><p>Finanzamt Fürstenfeldbruck<br>Münchner Straße 36<br>82256 Fürstenfeldbruck
7d870c38-4970-4ead-9701-657d00d2f3ea;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Fürth, Stresemannplatz 15, 90763 Fürth;Finanzamt Fürth;Stresemannplatz;15;90763;Fürth;<h3>Abrufberechtigter: </h3><p>Finanzamt Fürth<br>Stresemannplatz 15<br>90763 Fürth
a22ba414-3db4-46e3-94c3-f7682c654b7e;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Garmisch-Partenkirchen, Dompfaffstr. 5, 82467 Garmisch-Partenkirchen;Finanzamt Garmisch-Partenkirchen;Dompfaffstr.;5;82467;Garmisch-Partenkirchen;<h3>Abrufberechtigter: </h3><p>Finanzamt Garmisch-Partenkirchen<br>Dompfaffstr. 5<br>82467 Garmisch-Partenkirchen
d1817d22-f369-4255-97f7-2bac12a63a0b;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Grafenau, Friedhofstraße 1, 94481 Grafenau;Finanzamt Grafenau;Friedhofstraße;1;94481;Grafenau;<h3>Abrufberechtigter: </h3><p>Finanzamt Grafenau<br>Friedhofstraße 1<br>94481 Grafenau
a3bb1f5d-ee9a-4aa2-8559-e0f22af9aed0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Günzburg, Schloßplatz 3, 89312 Günzburg;Finanzamt Günzburg;Schloßplatz;3;89312;Günzburg;<h3>Abrufberechtigter: </h3><p>Finanzamt Günzburg<br>Schloßplatz 3<br>89312 Günzburg
9040526f-2022-43d5-85bc-6da37247db2f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Gunzenhausen, Hindenburgplatz 1, 91710 Gunzenhausen;Finanzamt Gunzenhausen;Hindenburgplatz;1;91710;Gunzenhausen;<h3>Abrufberechtigter: </h3><p>Finanzamt Gunzenhausen<br>Hindenburgplatz 1<br>91710 Gunzenhausen
871656ca-c722-4291-9424-e630111581d6;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Hersbruck, Amberger Str. 76, 91217 Hersbruck;Finanzamt Hersbruck;Amberger Str.;76;91217;Hersbruck;<h3>Abrufberechtigter: </h3><p>Finanzamt Hersbruck<br>Amberger Str. 76<br>91217 Hersbruck
6dc6c58b-917a-4a5b-b32c-6e3f13117c96;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Hilpoltstein, Spitalwinkel 3, 91161 Hilpoltstein;Finanzamt Hilpoltstein;Spitalwinkel;3;91161;Hilpoltstein;<h3>Abrufberechtigter: </h3><p>Finanzamt Hilpoltstein<br>Spitalwinkel 3<br>91161 Hilpoltstein
6b7ea221-bd5c-49a5-a33a-792cc1993a69;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Hof Außenstelle Münchberg, Hofer Straße 1, 95213 Münchberg;Finanzamt Hof Außenstelle Münchberg;Hofer Straße;1;95213;Münchberg;<h3>Abrufberechtigter: </h3><p>Finanzamt Hof Außenstelle Münchberg<br>Hofer Straße 1<br>95213 Münchberg
45c70d61-9be8-4a70-9e4a-82209ebf6210;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Hof Außenstelle Naila, Carl-Seyffert-Str. 3, 95119 Naila;Finanzamt Hof Außenstelle Naila;Carl-Seyffert-Str.;3;95119;Naila;<h3>Abrufberechtigter: </h3><p>Finanzamt Hof Außenstelle Naila<br>Carl-Seyffert-Str. 3<br>95119 Naila
cbf2656e-7e85-4778-8936-c90b05526199;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Hof, Ernst-Reuter-Str. 60, 95030 Hof;Finanzamt Hof;Ernst-Reuter-Str.;60;95030;Hof;<h3>Abrufberechtigter: </h3><p>Finanzamt Hof<br>Ernst-Reuter-Str. 60<br>95030 Hof
46ceff70-5bdb-47c2-92d0-dea41d36a11c;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Ingolstadt, Esplanade 38, 85049 Ingolstadt;Finanzamt Ingolstadt;Esplanade;38;85049;Ingolstadt;<h3>Abrufberechtigter: </h3><p>Finanzamt Ingolstadt<br>Esplanade 38<br>85049 Ingolstadt
3e84765e-63cf-413b-b996-69b4e1082418;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Kaufbeuren, Remboldstr. 21, 87600 Kaufbeuren;Finanzamt Kaufbeuren;Remboldstr.;21;87600;Kaufbeuren;<h3>Abrufberechtigter: </h3><p>Finanzamt Kaufbeuren<br>Remboldstr. 21<br>87600 Kaufbeuren
1cc332c3-60b7-400a-b12f-4c4d07b7046d;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Finanzamt Kelheim, Klosterstraße 1, 93309 Kelheim;Finanzamt Kelheim;Klosterstraße;1;93309;Kelheim;<h3>Abrufberechtigter: </h3><p>Finanzamt Kelheim<br>Klosterstraße 1<br>93309 Kelheim
